GeneSetId,GeneCount,Chromosome,RangeStart,RangeEnd,TotalFragments,Duplicates,SupportingTrans,Unspliced,AltSJ,Chimeric,LowMapQual,ForwardStrand,ReverseStrand,Genes
chr14_12,1,chr14,19104100,19104713,0,0,0,0,0,0,0,0,0,DUXAP9
chr22_12,2,chr22,15746630,15778297,0,0,0,0,0,0,0,0,0,PSLNR;GRAMD4P2
chr3_12,1,chr3,4490312,4493201,0,0,0,0,0,0,0,0,0,ITPR1-DT
chr2_12,2,chr2,1789113,2331664,0,0,0,0,0,0,0,0,0,MYT1L;MYT1L-AS1
chr14_13,1,chr14,19130636,19155089,0,0,0,0,0,0,0,0,0,NBEAP5
chr22_13,2,chr22,15784959,15829984,0,0,0,0,0,0,0,0,0,DUXAP8;BMS1P22
chr2_13,1,chr2,2895048,3126026,0,0,0,0,0,0,0,0,0,LINC01250
chr3_13,2,chr3,4493345,4847506,0,0,0,0,0,0,0,0,0,ITPR1;EGOT
chr22_14,2,chr22,15852990,15893942,0,0,0,0,0,0,0,0,0,NBEAP3;TOMM40P2
chr14_14,1,chr14,19180291,19181269,0,0,0,0,0,0,0,0,0,OR11H13P
chr2_14,2,chr2,3188925,3377830,0,0,0,0,0,0,0,0,0,EIPR1;EIPR1-IT1
chr3_14,2,chr3,4896806,4985323,0,0,0,0,0,0,0,0,0,BHLHE40-AS1;BHLHE40
chr22_15,1,chr22,16387694,16390887,0,0,0,0,0,0,0,0,0,ABCD1P4
chr14_15,1,chr14,19228898,19229945,0,0,0,0,0,0,0,0,0,CDRT15P13
chr2_15,2,chr2,3379675,3485094,0,0,0,0,0,0,0,0,0,TRAPPC12;TRAPPC12-AS1
chr3_15,1,chr3,5068676,5069044,0,0,0,0,0,0,0,0,0,RNF10P1
chr22_16,1,chr22,16423943,16426031,0,0,0,0,0,0,0,0,0,PABPC1P9
chr14_16,2,chr14,19244904,19269380,0,0,0,0,0,0,0,0,0,NBEAP6;TOMM40P1
chr2_16,1,chr2,3497366,3519531,0,0,0,0,0,0,0,0,0,ADI1
chr3_16,1,chr3,5080212,5084429,0,0,0,0,0,0,0,0,0,UBTFL8
chr22_17,1,chr22,16428947,16476870,0,0,0,0,0,0,0,0,0,SLC9B1P4
chr14_17,1,chr14,19316114,19316773,0,0,0,0,0,0,0,0,0,BMS1P17
chr2_17,1,chr2,3541430,3558333,0,0,0,0,0,0,0,0,0,RNASEH1
chr3_17,1,chr3,5122249,5180911,0,0,0,0,0,0,0,0,0,ARL8B
chr22_18,1,chr22,16486985,16488322,0,0,0,0,0,0,0,0,0,ACTR3BP6
chr14_18,2,chr14,19344578,19384587,0,0,0,0,0,0,0,0,0,LINC01297;GRAMD4P3
chr2_18,1,chr2,3558419,3564842,0,0,0,0,0,0,0,0,0,RNASEH1-AS1
chr3_18,1,chr3,5187646,5219958,0,0,0,0,0,0,0,0,0,EDEM1
chr22_19,1,chr22,16503304,16509475,0,0,0,0,0,0,0,0,0,CHEK2P4
chr14_19,2,chr14,19402486,19434341,0,0,0,0,0,0,0,0,0,POTEG;RNU6-1268P
chr2_19,1,chr2,3575260,3580920,0,0,0,0,0,0,0,0,0,RPS7
chr3_19,1,chr3,5250177,5250255,0,0,0,0,0,0,0,0,0,MIR4790
chr22_20,1,chr22,16575363,16582707,0,0,0,0,0,0,0,0,0,KCNMB3P1
chr14_20,1,chr14,19485336,19489148,0,0,0,0,0,0,0,0,0,MED15P6
chr2_20,2,chr2,3594832,3644644,0,0,0,0,0,0,0,0,0,COLEC11;TMSB4XP2
chr3_20,1,chr3,5252926,5253223,0,0,0,0,0,0,0,0,0,RN7SL553P
chr22_21,1,chr22,16590751,16592810,0,0,0,0,0,0,0,0,0,CCT8L2
chr14_21,1,chr14,19492281,19501740,0,0,0,0,0,0,0,0,0,NF1P4
chr2_21,2,chr2,3658200,3702671,0,0,0,0,0,0,0,0,0,ALLC;GAPDHP48
chr3_21,5,chr3,6631008,7741533,0,0,0,0,0,0,0,0,0,GRM7-AS3;GRM7;MRPS36P1;GRM7-AS2;GRM7-AS1
chr22_22,1,chr22,16595089,16595485,0,0,0,0,0,0,0,0,0,FABP5P11
chr14_22,1,chr14,19612191,19619490,0,0,0,0,0,0,0,0,0,NF1P11
chr2_22,1,chr2,3703575,3848008,0,0,0,0,0,0,0,0,0,DCDC2C
chr3_22,3,chr3,7951263,8611924,0,0,0,0,0,0,0,0,0,LMCD1-AS1;RNU4ATAC17P;LMCD1
chr14_23,1,chr14,19688261,19691194,0,0,0,0,0,0,0,0,0,ARHGAP42P4
chr22_23,6,chr22,16601887,16704477,0,0,0,0,0,0,0,0,0,TPTEP1;SLC25A15P5;PARP4P3;ANKRD62P1-PARP4P3;ANKRD62P1;VWFP1
chr2_23,1,chr2,3957652,3974124,0,0,0,0,0,0,0,0,0,LINC01304
chr3_23,5,chr3,8619386,8963773,0,0,0,0,0,0,0,0,0,SSUH2;OR7E122P;CAV3;OXTR;RAD18
chr14_24,1,chr14,19712936,19713883,0,0,0,0,0,0,0,0,0,OR11H2
chr22_24,1,chr22,16746628,16748645,0,0,0,0,0,0,0,0,0,LINC01665
chr2_24,1,chr2,4514204,4515056,0,0,0,0,0,0,0,0,0,NPM1P48
chr22_25,1,chr22,16783412,16825411,0,0,0,0,0,0,0,0,0,XKR3
chr14_25,6,chr14,19719015,19830253,0,0,0,0,0,0,0,0,0,OR4N2;OR11K2P;OR4Q3;OR4H12P;OR4M1;OR4N1P
chr3_24,9,chr3,8980591,9479240,0,0,0,0,0,0,0,0,0,SRGAP3;SRGAP3-AS1;SRGAP3-AS2;SRGAP3-AS3;SRGAP3-AS4;PGAM1P4;THUMPD3-AS1;THUMPD3;SETD5
chr2_25,1,chr2,4628216,4656498,0,0,0,0,0,0,0,0,0,LINC01249
chr14_26,1,chr14,19847367,19848263,0,0,0,0,0,0,0,0,0,OR4K6P
chr22_26,1,chr22,16827474,16829335,0,0,0,0,0,0,0,0,0,HSFY1P1
chr3_25,1,chr3,9498361,9553822,0,0,0,0,0,0,0,0,0,LHFPL4
chr2_26,1,chr2,4945277,4945383,0,0,0,0,0,0,0,0,0,RNU6-649P
chr14_27,1,chr14,19868197,19869143,0,0,0,0,0,0,0,0,0,OR4K3
chr22_27,1,chr22,16837522,16837666,0,0,0,0,0,0,0,0,0,GPM6BP3
chr3_26,1,chr3,9600748,9602728,0,0,0,0,0,0,0,0,0,DUSP5P2
chr2_27,1,chr2,5602505,5691488,0,0,0,0,0,0,0,0,0,LINC01248
chr22_28,1,chr22,16857619,16860718,0,0,0,0,0,0,0,0,0,ZNF402P
chr14_28,1,chr14,19875142,19883932,0,0,0,0,0,0,0,0,0,OR4K2
chr3_27,1,chr3,9649433,9702393,0,0,0,0,0,0,0,0,0,MTMR14
chr2_28,1,chr2,5692384,5701385,0,0,0,0,0,0,0,0,0,SOX11
chr22_29,1,chr22,16876218,16876421,0,0,0,0,0,0,0,0,0,MTND1P17
chr14_29,1,chr14,19905917,19906600,0,0,0,0,0,0,0,0,0,OR4K4P
chr3_28,1,chr3,9703826,9729908,0,0,0,0,0,0,0,0,0,CPNE9
chr2_29,1,chr2,5810641,5812670,0,0,0,0,0,0,0,0,0,LINC01810
chr22_30,1,chr22,16904219,16904696,0,0,0,0,0,0,0,0,0,IGKV1OR22-5
chr14_30,1,chr14,19920607,19921578,0,0,0,0,0,0,0,0,0,OR4K5
chr3_29,1,chr3,9731729,9748019,0,0,0,0,0,0,0,0,0,BRPF1
chr2_30,2,chr2,5932543,6003510,0,0,0,0,0,0,0,0,0,SILC1;MIR7158
chr22_31,1,chr22,16914235,16914981,0,0,0,0,0,0,0,0,0,IGKV2OR22-4
chr14_31,1,chr14,19930917,19936757,0,0,0,0,0,0,0,0,0,OR4K1
chr3_30,7,chr3,9749944,9855138,0,0,0,0,0,0,0,0,0,OGG1;CAMK1;TADA3;ARPC4;ARPC4-TTLL3;TTLL3;RPUSD3
chr2_31,1,chr2,6366010,6375422,0,0,0,0,0,0,0,0,0,LINC01247
chr22_32,1,chr22,16921443,16922173,0,0,0,0,0,0,0,0,0,IGKV2OR22-3
chr14_32,1,chr14,19956600,19957568,0,0,0,0,0,0,0,0,0,OR4K16P
chr3_31,1,chr3,9866711,9880255,0,0,0,0,0,0,0,0,0,CIDEC
chr2_32,2,chr2,6495651,6511839,0,0,0,0,0,0,0,0,0,LINC01824;PIK3CDP1
chr14_33,1,chr14,19975591,19976565,0,0,0,0,0,0,0,0,0,OR4K15
chr22_33,1,chr22,16925952,16926444,0,0,0,0,0,0,0,0,0,IGKV3OR22-2
chr3_32,1,chr3,9890574,9894349,0,0,0,0,0,0,0,0,0,JAGN1
chr2_33,2,chr2,6615389,6651104,0,0,0,0,0,0,0,0,0,MIR7515HG;MIR7515
chr22_34,1,chr22,16933521,16934003,0,0,0,0,0,0,0,0,0,IGKV1OR22-1
chr14_34,1,chr14,19999913,20004760,0,0,0,0,0,0,0,0,0,OR4Q2
chr3_33,1,chr3,9902612,9916402,0,0,0,0,0,0,0,0,0,IL17RE
chr2_34,1,chr2,6728177,6770311,0,0,0,0,0,0,0,0,0,LINC00487
chr14_35,1,chr14,20014143,20019307,0,0,0,0,0,0,0,0,0,OR4K14
chr22_35,1,chr22,16961936,17008222,0,0,0,0,0,0,0,0,0,GAB4
chr2_35,1,chr2,6819463,6840464,0,0,0,0,0,0,0,0,0,NRIR
chr3_34,2,chr3,9917074,9933630,0,0,0,0,0,0,0,0,0,IL17RC;RNU6-882P
chr22_36,1,chr22,17021398,17022570,0,0,0,0,0,0,0,0,0,VN1R9P
chr14_36,1,chr14,20029399,20036038,0,0,0,0,0,0,0,0,0,OR4K13
chr2_36,2,chr2,6840570,6898239,0,0,0,0,0,0,0,0,0,CMPK2;RSAD2
chr22_37,1,chr22,17044873,17047426,0,0,0,0,0,0,0,0,0,CECR7
chr14_37,1,chr14,20043916,20044827,0,0,0,0,0,0,0,0,0,OR4U1P
chr3_35,3,chr3,9933793,9954787,0,0,0,0,0,0,0,0,0,CRELD1;PRRT3;PRRT3-AS1
chr2_37,2,chr2,6911754,7068286,0,0,0,0,0,0,0,0,0,GRASLND;RNF144A
chr22_38,1,chr22,17084954,17115693,0,0,0,0,0,0,0,0,0,IL17RA
chr14_38,1,chr14,20060045,20060983,0,0,0,0,0,0,0,0,0,OR4L1
chr3_36,3,chr3,9962682,10011202,0,0,0,0,0,0,0,0,0,EMC3;EMC3-AS1;CYCSP10
chr2_38,1,chr2,7141227,7141544,0,0,0,0,0,0,0,0,0,RN7SKP112
chr14_39,1,chr14,20090130,20090227,0,0,0,0,0,0,0,0,0,RNA5SP380
chr22_39,1,chr22,17116297,17121367,0,0,0,0,0,0,0,0,0,TMEM121B
chr3_37,1,chr3,10017490,10023747,0,0,0,0,0,0,0,0,0,CIDECP1
chr2_39,1,chr2,7576841,7576971,0,0,0,0,0,0,0,0,0,RNU6ATAC37P
chr22_40,1,chr22,17121530,17132105,0,0,0,0,0,0,0,0,0,LINC01664
chr14_40,1,chr14,20093353,20094263,0,0,0,0,0,0,0,0,0,OR4T1P
chr3_38,4,chr3,10026370,10108255,0,0,0,0,0,0,0,0,0,FANCD2;RNU6-670P;CYCSP11;FANCD2OS
chr2_40,1,chr2,7725682,7732268,0,0,0,0,0,0,0,0,0,LINC01871
chr14_41,1,chr14,20110739,20122199,0,0,0,0,0,0,0,0,0,OR4K17
chr22_41,2,chr22,17137511,17165447,0,0,0,0,0,0,0,0,0,HDHD5;HDHD5-AS1
chr3_39,1,chr3,10115675,10127190,0,0,0,0,0,0,0,0,0,BRK1
chr2_41,3,chr2,7922425,8592903,0,0,0,0,0,0,0,0,0,LINC00298;LINC00299;LINC01814
chr14_42,1,chr14,20138820,20145471,0,0,0,0,0,0,0,0,0,OR4N5
chr22_42,4,chr22,17178790,17266733,0,0,0,0,0,0,0,0,0,ADA2;RPL32P5;FAM32BP;CECR3
chr3_40,1,chr3,10141778,10153667,0,0,0,0,0,0,0,0,0,VHL
chr2_42,1,chr2,8603082,8603359,0,0,0,0,0,0,0,0,0,SNRPEP5
chr14_43,1,chr14,20149232,20149745,0,0,0,0,0,0,0,0,0,PSMB7P1
chr22_43,1,chr22,17329034,17329232,0,0,0,0,0,0,0,0,0,CECR9
chr3_41,1,chr3,10164919,10243745,0,0,0,0,0,0,0,0,0,IRAK2
chr2_43,2,chr2,8666636,8684461,0,0,0,0,0,0,0,0,0,ID2-AS1;ID2
chr14_44,1,chr14,20173632,20173813,0,0,0,0,0,0,0,0,0,GTF2IP22
chr22_44,1,chr22,17352881,17353177,0,0,0,0,0,0,0,0,0,RN7SL843P
chr3_42,1,chr3,10248023,10281218,0,0,0,0,0,0,0,0,0,TATDN2
chr2_44,1,chr2,8721081,8837630,0,0,0,0,0,0,0,0,0,KIDINS220
chr14_45,1,chr14,20179189,20180156,0,0,0,0,0,0,0,0,0,OR11G1P
chr22_45,3,chr22,17359949,17558151,0,0,0,0,0,0,0,0,0,CECR2;CLCP1;DNAJA1P6
chr3_43,4,chr3,10284419,10321112,0,0,0,0,0,0,0,0,0,LINC00852;GHRL;GHRLOS;SEC13
chr2_45,1,chr2,8852690,9003709,0,0,0,0,0,0,0,0,0,MBOAT2
chr14_46,1,chr14,20183925,20184298,0,0,0,0,0,0,0,0,0,OR11P1P
chr22_46,1,chr22,17563450,17590995,0,0,0,0,0,0,0,0,0,SLC25A18
chr3_44,5,chr3,10324023,10708007,0,0,0,0,0,0,0,0,0,ATP2B2;MIR378B;MIR885;ATP2B2-IT1;ATP2B2-IT2
chr2_46,1,chr2,9018293,9018899,0,0,0,0,0,0,0,0,0,HMGB1P25
chr14_47,1,chr14,20190896,20201075,0,0,0,0,0,0,0,0,0,OR11G2
chr22_47,1,chr22,17592136,17628749,0,0,0,0,0,0,0,0,0,ATP6V1E1
chr3_45,1,chr3,10759350,10764209,0,0,0,0,0,0,0,0,0,LINC00606
chr2_47,1,chr2,9081395,9081727,0,0,0,0,0,0,0,0,0,RPL30P3
chr14_48,1,chr14,20209273,20210198,0,0,0,0,0,0,0,0,0,OR11H5P
chr22_48,1,chr22,17628855,17730855,0,0,0,0,0,0,0,0,0,BCL2L13
chr3_46,1,chr3,10816201,10940714,0,0,0,0,0,0,0,0,0,SLC6A11
chr2_48,3,chr2,9206765,9423528,0,0,0,0,0,0,0,0,0,ASAP2;EIF1P7;ITGB1BP1
chr14_49,1,chr14,20223710,20224702,0,0,0,0,0,0,0,0,0,OR11H6
chr22_49,2,chr22,17734138,17774770,0,0,0,0,0,0,0,0,0,BID;MIR3198-1
chr3_47,2,chr3,10992186,11039247,0,0,0,0,0,0,0,0,0,SLC6A1;SLC6A1-AS1
chr2_49,1,chr2,9423651,9473101,0,0,0,0,0,0,0,0,0,CPSF3
chr22_50,1,chr22,17777322,17779481,0,0,0,0,0,0,0,0,0,LINC00528
chr14_50,1,chr14,20229402,20230346,0,0,0,0,0,0,0,0,0,OR11H7
chr3_48,2,chr3,11137093,11263557,0,0,0,0,0,0,0,0,0,HRH1;CHCHD4P4
chr14_51,1,chr14,20239286,20244349,0,0,0,0,0,0,0,0,0,OR11H4
chr22_51,3,chr22,17787649,18024561,0,0,0,0,0,0,0,0,0,MICAL3;MIR648;RHEBP3
chr2_50,2,chr2,9473658,9556732,0,0,0,0,0,0,0,0,0,IAH1;ADAM17
chr3_49,2,chr3,11272309,11771350,0,0,0,0,0,0,0,0,0,ATG7;VGLL4
chr22_52,1,chr22,18029385,18037970,0,0,0,0,0,0,0,0,0,LINC01634
chr14_52,1,chr14,20256558,20305960,0,0,0,0,0,0,0,0,0,TTC5
chr2_51,1,chr2,9583967,9630997,0,0,0,0,0,0,0,0,0,YWHAQ
chr3_50,1,chr3,11790442,11846919,0,0,0,0,0,0,0,0,0,TAMM41
chr22_53,2,chr22,18077923,18105396,0,0,0,0,0,0,0,0,0,PEX26;ARL2BPP10
chr14_53,3,chr14,20311368,20333312,0,0,0,0,0,0,0,0,0,CCNB1IP1;SNORA79B;SNORD126
chr2_52,1,chr2,9740643,9740783,0,0,0,0,0,0,0,0,0,RNU4-73P
chr3_51,2,chr3,11859674,11891172,0,0,0,0,0,0,0,0,0,FANCD2P2;CYCSP12
chr22_54,1,chr22,18110100,18146683,0,0,0,0,0,0,0,0,0,TUBA8
chr14_54,1,chr14,20343075,20343407,0,0,0,0,0,0,0,0,0,RPPH1
chr2_53,1,chr2,9843443,9934416,0,0,0,0,0,0,0,0,0,TAF1B
chr3_52,1,chr3,11900011,11901245,0,0,0,0,0,0,0,0,0,NUP210P2
chr22_55,1,chr22,18150118,18177397,0,0,0,0,0,0,0,0,0,USP18
chr14_55,1,chr14,20343615,20357904,0,0,0,0,0,0,0,0,0,PARP2
chr2_54,1,chr2,9951693,10002277,0,0,0,0,0,0,0,0,0,GRHL1
chr3_53,1,chr3,11906527,11912313,0,0,0,0,0,0,0,0,0,MARK2P14
chr22_56,1,chr22,18178038,18205915,0,0,0,0,0,0,0,0,0,FAM230D
chr14_56,1,chr14,20365667,20413501,0,0,0,0,0,0,0,0,0,TEP1
chr2_55,1,chr2,10042849,10054836,0,0,0,0,0,0,0,0,0,KLF11
chr3_54,1,chr3,11952788,11953085,0,0,0,0,0,0,0,0,0,RN7SL147P
chr22_57,1,chr22,18340145,18345899,0,0,0,0,0,0,0,0,0,GGTLC5P
chr14_57,1,chr14,20414987,20415098,0,0,0,0,0,0,0,0,0,RNA5SP382
chr2_56,1,chr2,10056473,10080944,0,0,0,0,0,0,0,0,0,CYS1
chr3_55,4,chr3,12004388,12192032,0,0,0,0,0,0,0,0,0,SYN2;ACTG1P12;TIMP4;MTCO1P5
chr22_58,1,chr22,18361820,18391105,0,0,0,0,0,0,0,0,0,FAM230J
chr14_58,1,chr14,20425852,20436166,0,0,0,0,0,0,0,0,0,KLHL33
chr2_57,2,chr2,10120698,10211725,0,0,0,0,0,0,0,0,0,RRM2;MIR4261
chr3_56,1,chr3,12257801,12258460,0,0,0,0,0,0,0,0,0,GSTM5P1
chr22_59,1,chr22,18400407,18404206,0,0,0,0,0,0,0,0,0,PPP1R26P3
chr14_59,1,chr14,20446401,20455089,0,0,0,0,0,0,0,0,0,OSGEP
chr2_58,1,chr2,10280628,10280891,0,0,0,0,0,0,0,0,0,RN7SL66P
chr22_60,1,chr22,18422244,18500594,0,0,0,0,0,0,0,0,0,FAM230A
chr3_57,1,chr3,12287368,12434356,0,0,0,0,0,0,0,0,0,PPARG
chr14_60,2,chr14,20455191,20461465,0,0,0,0,0,0,0,0,0,APEX1;PIP4P1
chr2_59,1,chr2,10302889,10427617,0,0,0,0,0,0,0,0,0,HPCAL1
chr22_61,1,chr22,18501794,18512187,0,0,0,0,0,0,0,0,0,FAM247B
chr14_61,1,chr14,20461992,20477094,0,0,0,0,0,0,0,0,0,PNP
chr2_60,2,chr2,10439968,10448327,0,0,0,0,0,0,0,0,0,ODC1;SNORA80B
chr22_62,1,chr22,18516344,18518161,0,0,0,0,0,0,0,0,0,GGTLC3
chr14_62,1,chr14,20505537,20513884,0,0,0,0,0,0,0,0,0,RNASE10
chr2_61,1,chr2,10448654,10457693,0,0,0,0,0,0,0,0,0,ODC1-DT
chr22_63,1,chr22,18527802,18530573,0,0,0,0,0,0,0,0,0,TMEM191B
chr14_63,1,chr14,20524287,20525422,0,0,0,0,0,0,0,0,0,PTCD2P1
chr3_58,6,chr3,12484421,12664201,0,0,0,0,0,0,0,0,0,TSEN2;RNA5SP123;RNU6-377P;MKRN2OS;MKRN2;RAF1
chr2_62,1,chr2,10562347,10689987,0,0,0,0,0,0,0,0,0,NOL10
chr22_64,1,chr22,18534005,18548798,0,0,0,0,0,0,0,0,0,PI4KAP1
chr14_64,1,chr14,20528115,20528959,0,0,0,0,0,0,0,0,0,SETP1
chr3_59,1,chr3,12673699,12673883,0,0,0,0,0,0,0,0,0,CRIP1P1
chr2_63,1,chr2,10690344,10692099,0,0,0,0,0,0,0,0,0,RN7SL832P
chr22_65,2,chr22,18605802,18611919,0,0,0,0,0,0,0,0,0,RN7SKP131;RIMBP3
chr14_65,1,chr14,20556093,20561047,0,0,0,0,0,0,0,0,0,RNASE9
chr3_60,1,chr3,12733528,12769457,0,0,0,0,0,0,0,0,0,TMEM40
chr2_64,4,chr2,10721100,10837977,0,0,0,0,0,0,0,0,0,ATP6V1C2;RNU7-138P;PDIA6;RNU7-176P
chr22_66,1,chr22,18623339,18625289,0,0,0,0,0,0,0,0,0,SUSD2P2
chr14_66,2,chr14,20582892,20609884,0,0,0,0,0,0,0,0,0,RNASE11;RNASE12
chr2_65,1,chr2,10844224,10885152,0,0,0,0,0,0,0,0,0,LINC01954
chr3_61,1,chr3,12787393,12788671,0,0,0,0,0,0,0,0,0,KRT18P17
chr22_67,1,chr22,18633984,18634682,0,0,0,0,0,0,0,0,0,FAM246B
chr14_67,1,chr14,20640696,20641691,0,0,0,0,0,0,0,0,0,OR6S1
chr2_66,1,chr2,10911934,10914225,0,0,0,0,0,0,0,0,0,KCNF1
chr3_62,3,chr3,12796472,12841582,0,0,0,0,0,0,0,0,0,CAND2;RPL32;SNORA7A
chr22_68,1,chr22,18636445,18638405,0,0,0,0,0,0,0,0,0,CA15P2
chr14_68,3,chr14,20684177,20707120,0,0,0,0,0,0,0,0,0,ANG;RNASE4;EGILA
chr2_67,1,chr2,11102142,11102997,0,0,0,0,0,0,0,0,0,RPL6P4
chr3_63,1,chr3,12877522,12885211,0,0,0,0,0,0,0,0,0,LINC02022
chr22_69,1,chr22,18650023,18653617,0,0,0,0,0,0,0,0,0,PPP1R26P2
chr14_69,1,chr14,20720742,20723127,0,0,0,0,0,0,0,0,0,RANBP20P
chr2_68,1,chr2,11133128,11151317,0,0,0,0,0,0,0,0,0,C2orf50
chr3_64,1,chr3,12897043,13283281,0,0,0,0,0,0,0,0,0,IQSEC1
chr22_70,1,chr22,18715815,18719341,0,0,0,0,0,0,0,0,0,PPP1R26P4
chr14_70,1,chr14,20734578,20735011,0,0,0,0,0,0,0,0,0,EDDM3DP
chr2_69,1,chr2,11155198,11178870,0,0,0,0,0,0,0,0,0,SLC66A3
chr3_65,1,chr3,13316235,13420322,0,0,0,0,0,0,0,0,0,NUP210
chr22_71,1,chr22,18733914,18757906,0,0,0,0,0,0,0,0,0,FAM230E
chr14_71,1,chr14,20745887,20748380,0,0,0,0,0,0,0,0,0,EDDM3A
chr2_70,3,chr2,11179759,11348330,0,0,0,0,0,0,0,0,0,ROCK2;RNU6-1081P;AIDAP1
chr3_66,2,chr3,13476982,13506424,0,0,0,0,0,0,0,0,0,HDAC11-AS1;HDAC11
chr22_72,1,chr22,18773825,18791223,0,0,0,0,0,0,0,0,0,GGT3P
chr14_72,1,chr14,20768404,20770948,0,0,0,0,0,0,0,0,0,EDDM3B
chr2_71,1,chr2,11351627,11352118,0,0,0,0,0,0,0,0,0,PPIAP60
chr22_73,1,chr22,18833694,18834438,0,0,0,0,0,0,0,0,0,E2F6P1
