sample_id	data_type	clf_group	clf_name	feat_name	feat_value	cancer_type	data_value	rank	rank_group
subject_a.tumor	prob	dna	dna_combined			Breast: Other	0.19596326742432296	2	1
subject_a.tumor	prob	dna	dna_combined			CNS: Glioma	0.0	25	1
subject_a.tumor	prob	dna	dna_combined			CNS: Medulloblastoma	0.3003562465780504	1	1
subject_a.tumor	prob	dna	dna_combined			CNS: Pilocytic astrocytoma	0.0	26	1
subject_a.tumor	prob	dna	dna_combined			Colorectum/Small intestine/Appendix	0.058985560811827646	6	1
subject_a.tumor	prob	dna	dna_combined			Esophagus/Stomach	0.01966975592450957	9	1
subject_a.tumor	prob	dna	dna_combined			Gynecologic: Endometrium	0.0	27	1
subject_a.tumor	prob	dna	dna_combined			Gynecologic: Ovary/Fallopian tube	0.07867906299448962	5	1
subject_a.tumor	prob	dna	dna_combined			HPB: Bile duct/Gallbladder	0.011752369892002575	14	1
subject_a.tumor	prob	dna	dna_combined			HPB: Liver	0.006819805886235072	15	1
subject_a.tumor	prob	dna	dna_combined			HPB: Pancreas	0.05437752518955127	7	1
subject_a.tumor	prob	dna	dna_combined			Head and neck: Adenoid cystic	0.0	28	1
subject_a.tumor	prob	dna	dna_combined			Head and neck: Salivary gland	0.0	29	1
subject_a.tumor	prob	dna	dna_combined			Head and neck: Other	0.03337536575088639	8	1
subject_a.tumor	prob	dna	dna_combined			Kidney: Chromophobe	0.0	30	1
subject_a.tumor	prob	dna	dna_combined			Kidney: Other	0.01653652046750805	11	1
subject_a.tumor	prob	dna	dna_combined			Lung: Non-small cell: LUAD	0.01850125557255851	10	1
subject_a.tumor	prob	dna	dna_combined			Lung: Non-small cell: LUSC	0.0	31	1
subject_a.tumor	prob	dna	dna_combined			Lung: Small cell	0.0	32	1
subject_a.tumor	prob	dna	dna_combined			Lymphoid tissue	0.0048008104601455995	16	1
subject_a.tumor	prob	dna	dna_combined			Mesothelium	0.0	33	1
subject_a.tumor	prob	dna	dna_combined			Myeloid: Acute myeloid leukemia	0.0	34	1
subject_a.tumor	prob	dna	dna_combined			Myeloid: Myeloproliferative neoplasm	0.0	35	1
subject_a.tumor	prob	dna	dna_combined			NET: Colorectum/Small intestine	0.0	36	1
subject_a.tumor	prob	dna	dna_combined			NET: Lung	0.0	37	1
subject_a.tumor	prob	dna	dna_combined			NET: Pancreas	0.08417585414781448	3	1
subject_a.tumor	prob	dna	dna_combined			Prostate	0.0	38	1
subject_a.tumor	prob	dna	dna_combined			Skin: Melanoma	0.003250007344189816	18	1
subject_a.tumor	prob	dna	dna_combined			Skin: Other	0.0	39	1
subject_a.tumor	prob	dna	dna_combined			Thyroid gland	0.0	40	1
subject_a.tumor	prob	dna	dna_combined			Urothelial tract	0.013939040072052938	12	1
subject_a.tumor	prob	dna	gen_pos			Anogenital	0.06535580196476114	2	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Cartilaginous neoplasm	7.29125402456609e-05	40	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: GIST	0.050002770585863776	5	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Leiomyosarcoma	0.024435191625068523	16	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Liposarcoma	0.00412202478075882	36	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Osteosarcoma	0.015063010671104316	25	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Undiff. sarcoma	0.017671726306292945	21	2
subject_a.tumor	prob	dna	gen_pos			Bone/Soft tissue: Other	0.061622173319864734	3	2
subject_a.tumor	prob	dna	gen_pos			Breast: Triple negative	0.04988643698489326	6	2
subject_a.tumor	prob	dna	gen_pos			Breast: Other	0.0772278425521584	1	2
subject_a.tumor	prob	dna	gen_pos			CNS: Glioma	0.015535591093343735	24	2
subject_a.tumor	prob	dna	gen_pos			CNS: Medulloblastoma	0.012324619574833481	27	2
subject_a.tumor	prob	dna	gen_pos			CNS: Pilocytic astrocytoma	0.026982596037475926	15	2
subject_a.tumor	prob	dna	gen_pos			Colorectum/Small intestine/Appendix	0.012068419415249063	28	2
subject_a.tumor	prob	dna	gen_pos			Esophagus/Stomach	0.017003911387769324	23	2
subject_a.tumor	prob	dna	gen_pos			Gynecologic: Endometrium	0.022332747936683377	19	2
subject_a.tumor	prob	dna	gen_pos			Gynecologic: Ovary/Fallopian tube	0.04808222248620319	9	2
subject_a.tumor	prob	dna	gen_pos			HPB: Bile duct/Gallbladder	0.03749551778329264	10	2
subject_a.tumor	prob	dna	gen_pos			HPB: Liver	0.015014407700796675	26	2
subject_a.tumor	prob	dna	gen_pos			HPB: Pancreas	0.033004418450265666	12	2
subject_a.tumor	prob	dna	gen_pos			Head and neck: Adenoid cystic	0.0003570914913297218	39	2
subject_a.tumor	prob	dna	gen_pos			Head and neck: Salivary gland	0.03314154751248401	11	2
subject_a.tumor	prob	dna	gen_pos			Head and neck: Other	0.05925828441282673	4	2
subject_a.tumor	prob	dna	gen_pos			Kidney: Chromophobe	0.009667405155065556	31	2
subject_a.tumor	prob	dna	gen_pos			Kidney: Other	0.028342821669026585	14	2
subject_a.tumor	prob	dna	gen_pos			Lung: Non-small cell: LUAD	0.018962023858587747	20	2
subject_a.tumor	prob	dna	gen_pos			Lung: Non-small cell: LUSC	0.007979883763991651	33	2
subject_a.tumor	prob	dna	gen_pos			Lung: Small cell	0.00458728339403309	35	2
subject_a.tumor	prob	dna	gen_pos			Lymphoid tissue	0.000551612986348629	38	2
subject_a.tumor	prob	dna	gen_pos			Mesothelium	0.01051619817572927	30	2
subject_a.tumor	prob	dna	gen_pos			Myeloid: Acute myeloid leukemia	0.0022074125569656504	37	2
subject_a.tumor	prob	dna	gen_pos			Myeloid: Myeloproliferative neoplasm	0.022364845021952736	18	2
subject_a.tumor	prob	dna	gen_pos			NET: Colorectum/Small intestine	0.0075485287478048845	34	2
subject_a.tumor	prob	dna	gen_pos			NET: Lung	0.010900996956202993	29	2
subject_a.tumor	prob	dna	gen_pos			NET: Pancreas	0.04943985848374182	7	2
subject_a.tumor	prob	dna	gen_pos			Prostate	0.031066497641525248	13	2
subject_a.tumor	prob	dna	gen_pos			Skin: Melanoma	0.008143188316923391	32	2
subject_a.tumor	prob	dna	gen_pos			Skin: Other	0.04848252762814589	8	2
subject_a.tumor	prob	dna	gen_pos			Thyroid gland	0.023858240317977595	17	2
subject_a.tumor	prob	dna	gen_pos			Urothelial tract	0.017319408712412193	22	2
subject_a.tumor	prob	dna	snv96			Anogenital	0.0005244422788803128	39	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Cartilaginous neoplasm	0.0029617559526255188	27	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: GIST	0.03231048013161683	10	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Leiomyosarcoma	0.017370277567791137	14	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Liposarcoma	0.046057719326077856	7	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Osteosarcoma	0.1159832626823746	2	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Undiff. sarcoma	0.005658471332685043	21	3
subject_a.tumor	prob	dna	snv96			Bone/Soft tissue: Other	0.0422877455842013	8	3
subject_a.tumor	prob	dna	snv96			Breast: Triple negative	0.0022627847275689546	30	3
subject_a.tumor	prob	dna	snv96			Breast: Other	0.005315025057643995	23	3
subject_a.tumor	prob	dna	snv96			CNS: Glioma	0.0009687755450135073	36	3
subject_a.tumor	prob	dna	snv96			CNS: Medulloblastoma	0.21649828133050172	1	3
subject_a.tumor	prob	dna	snv96			CNS: Pilocytic astrocytoma	0.06467568900067387	6	3
subject_a.tumor	prob	dna	snv96			Colorectum/Small intestine/Appendix	0.0005913112165157351	38	3
subject_a.tumor	prob	dna	snv96			Esophagus/Stomach	0.001955732087820659	32	3
subject_a.tumor	prob	dna	snv96			Gynecologic: Endometrium	0.0018543031338299383	33	3
subject_a.tumor	prob	dna	snv96			Gynecologic: Ovary/Fallopian tube	0.007763514088139777	18	3
subject_a.tumor	prob	dna	snv96			HPB: Bile duct/Gallbladder	0.01815698803215643	13	3
subject_a.tumor	prob	dna	snv96			HPB: Liver	0.0027981656411841505	28	3
subject_a.tumor	prob	dna	snv96			HPB: Pancreas	0.006486053558533244	19	3
subject_a.tumor	prob	dna	snv96			Head and neck: Adenoid cystic	0.0010012009519349066	35	3
subject_a.tumor	prob	dna	snv96			Head and neck: Salivary gland	0.005515295137223335	22	3
subject_a.tumor	prob	dna	snv96			Head and neck: Other	0.0020163603066719773	31	3
subject_a.tumor	prob	dna	snv96			Kidney: Chromophobe	0.09477310485866224	3	3
subject_a.tumor	prob	dna	snv96			Kidney: Other	0.010139482977437223	17	3
subject_a.tumor	prob	dna	snv96			Lung: Non-small cell: LUAD	0.001159095231130984	34	3
subject_a.tumor	prob	dna	snv96			Lung: Non-small cell: LUSC	0.00044519136220144397	40	3
subject_a.tumor	prob	dna	snv96			Lung: Small cell	0.0037639162156421517	26	3
subject_a.tumor	prob	dna	snv96			Lymphoid tissue	0.021420062661443525	11	3
subject_a.tumor	prob	dna	snv96			Mesothelium	0.005743797796859531	20	3
subject_a.tumor	prob	dna	snv96			Myeloid: Acute myeloid leukemia	0.08601600365932462	4	3
subject_a.tumor	prob	dna	snv96			Myeloid: Myeloproliferative neoplasm	0.019288971158834472	12	3
subject_a.tumor	prob	dna	snv96			NET: Colorectum/Small intestine	0.016939378632949365	15	3
subject_a.tumor	prob	dna	snv96			NET: Lung	0.0050534715740246615	24	3
subject_a.tumor	prob	dna	snv96			NET: Pancreas	0.03933545615302785	9	3
subject_a.tumor	prob	dna	snv96			Prostate	0.0025106007615307113	29	3
subject_a.tumor	prob	dna	snv96			Skin: Melanoma	0.012009830828767977	16	3
subject_a.tumor	prob	dna	snv96			Skin: Other	0.004359500439280077	25	3
subject_a.tumor	prob	dna	snv96			Thyroid gland	0.07537732179234315	5	3
subject_a.tumor	prob	dna	snv96			Urothelial tract	0.0006511792248752393	37	3
subject_a.tumor	prob	dna	event			Anogenital	0.002257494066066982	19	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Cartilaginous neoplasm	0.11406810001230112	3	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: GIST	0.0043836951170540105	15	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Leiomyosarcoma	0.0025213070055630734	18	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Liposarcoma	4.4187091172264456e-05	35	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Osteosarcoma	0.010572501445831087	11	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Undiff. sarcoma	0.0007578846467616638	25	4
subject_a.tumor	prob	dna	event			Bone/Soft tissue: Other	0.005737143570242271	14	4
subject_a.tumor	prob	dna	event			Breast: Triple negative	0.0004916521369310062	27	4
subject_a.tumor	prob	dna	event			Breast: Other	0.0012954606585855821	22	4
subject_a.tumor	prob	dna	event			CNS: Glioma	0.0004172059056945061	28	4
subject_a.tumor	prob	dna	event			CNS: Medulloblastoma	0.28575576976818245	1	4
subject_a.tumor	prob	dna	event			CNS: Pilocytic astrocytoma	0.22580107874637056	2	4
subject_a.tumor	prob	dna	event			Colorectum/Small intestine/Appendix	0.0016228079390239332	20	4
subject_a.tumor	prob	dna	event			Esophagus/Stomach	0.00013732234428200552	33	4
subject_a.tumor	prob	dna	event			Gynecologic: Endometrium	0.003631934532145754	16	4
subject_a.tumor	prob	dna	event			Gynecologic: Ovary/Fallopian tube	0.03295725507515762	8	4
subject_a.tumor	prob	dna	event			HPB: Bile duct/Gallbladder	0.007250842755606215	13	4
subject_a.tumor	prob	dna	event			HPB: Liver	0.0009983620898436	23	4
subject_a.tumor	prob	dna	event			HPB: Pancreas	0.09932867526286043	4	4
subject_a.tumor	prob	dna	event			Head and neck: Adenoid cystic	0.00024001251927616247	31	4
subject_a.tumor	prob	dna	event			Head and neck: Salivary gland	0.00014695440911975053	32	4
subject_a.tumor	prob	dna	event			Head and neck: Other	0.00034860551618008895	30	4
subject_a.tumor	prob	dna	event			Kidney: Chromophobe	0.06038014870236904	5	4
subject_a.tumor	prob	dna	event			Kidney: Other	0.0007628962075112842	24	4
subject_a.tumor	prob	dna	event			Lung: Non-small cell: LUAD	0.0003637612728574514	29	4
subject_a.tumor	prob	dna	event			Lung: Non-small cell: LUSC	5.97052662747913e-06	38	4
subject_a.tumor	prob	dna	event			Lung: Small cell	1.4420436551591647e-06	40	4
subject_a.tumor	prob	dna	event			Lymphoid tissue	0.009739179984676442	12	4
subject_a.tumor	prob	dna	event			Mesothelium	0.0007563247146344855	26	4
subject_a.tumor	prob	dna	event			Myeloid: Acute myeloid leukemia	0.0025684262207441	17	4
subject_a.tumor	prob	dna	event			Myeloid: Myeloproliferative neoplasm	0.043407080761515685	6	4
subject_a.tumor	prob	dna	event			NET: Colorectum/Small intestine	0.024632645541852887	9	4
subject_a.tumor	prob	dna	event			NET: Lung	0.0015006737480572948	21	4
subject_a.tumor	prob	dna	event			NET: Pancreas	0.021540885589410374	10	4
subject_a.tumor	prob	dna	event			Prostate	2.7645793970874283e-05	36	4
subject_a.tumor	prob	dna	event			Skin: Melanoma	4.269070180986276e-06	39	4
subject_a.tumor	prob	dna	event			Skin: Other	1.7799357456433377e-05	37	4
subject_a.tumor	prob	dna	event			Thyroid gland	0.033423695467261524	7	4
subject_a.tumor	prob	dna	event			Urothelial tract	0.00010090238296624493	34	4
subject_a.tumor	prob	rna	rna_combined			Anogenital	0.003709436996529436	22	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Cartilaginous neoplasm		34	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: GIST	0.22986566174955853	2	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Leiomyosarcoma	0.0	26	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Liposarcoma	0.006833422303618723	19	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Osteosarcoma		35	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Undiff. sarcoma	0.032921216094304234	7	5
subject_a.tumor	prob	rna	rna_combined			Bone/Soft tissue: Other	0.028248789435108772	8	5
subject_a.tumor	prob	rna	rna_combined			Breast: Triple negative	0.0014345088385016172	24	5
subject_a.tumor	prob	rna	rna_combined			Breast: Other	0.0408596480263044	4	5
subject_a.tumor	prob	rna	rna_combined			CNS: Glioma	0.17615945472197117	3	5
subject_a.tumor	prob	rna	rna_combined			CNS: Medulloblastoma		36	5
subject_a.tumor	prob	rna	rna_combined			CNS: Pilocytic astrocytoma		37	5
subject_a.tumor	prob	rna	rna_combined			Colorectum/Small intestine/Appendix	0.03670582086270215	6	5
subject_a.tumor	prob	rna	rna_combined			Esophagus/Stomach	0.008956933235522296	16	5
subject_a.tumor	prob	rna	rna_combined			Gynecologic: Endometrium	0.0	27	5
subject_a.tumor	prob	rna	rna_combined			Gynecologic: Ovary/Fallopian tube	0.019281703310413012	12	5
subject_a.tumor	prob	rna	rna_combined			HPB: Bile duct/Gallbladder	0.014345088385016176	13	5
subject_a.tumor	prob	rna	rna_combined			HPB: Liver	0.0216020154503773	11	5
subject_a.tumor	prob	rna	rna_combined			HPB: Pancreas	0.005103157343598013	20	5
subject_a.tumor	prob	rna	rna_combined			Head and neck: Adenoid cystic	0.0043595643114319425	21	5
subject_a.tumor	prob	rna	rna_combined			Head and neck: Salivary gland	0.0	28	5
subject_a.tumor	prob	rna	rna_combined			Head and neck: Other	0.01080100772518865	15	5
subject_a.tumor	prob	rna	rna_combined			Kidney: Chromophobe		38	5
subject_a.tumor	prob	rna	rna_combined			Kidney: Other	0.024482284177094273	9	5
subject_a.tumor	prob	rna	rna_combined			Lung: Non-small cell: LUAD	0.02369253307460737	10	5
subject_a.tumor	prob	rna	rna_combined			Lung: Non-small cell: LUSC	0.0	29	5
subject_a.tumor	prob	rna	rna_combined			Lung: Small cell	0.007344685253128282	18	5
subject_a.tumor	prob	rna	rna_combined			Lymphoid tissue	0.24192104638691206	1	5
subject_a.tumor	prob	rna	rna_combined			Mesothelium	0.0	30	5
subject_a.tumor	prob	rna	rna_combined			Myeloid: Acute myeloid leukemia		39	5
subject_a.tumor	prob	rna	rna_combined			Myeloid: Myeloproliferative neoplasm		40	5
subject_a.tumor	prob	rna	rna_combined			NET: Colorectum/Small intestine	0.0020067446046798582	23	5
subject_a.tumor	prob	rna	rna_combined			NET: Lung	0.011641959675660701	14	5
subject_a.tumor	prob	rna	rna_combined			NET: Pancreas	0.0	31	5
subject_a.tumor	prob	rna	rna_combined			Prostate	0.0	32	5
subject_a.tumor	prob	rna	rna_combined			Skin: Melanoma	0.038000680613965096	5	5
subject_a.tumor	prob	rna	rna_combined			Skin: Other	0.0009789645034152116	25	5
subject_a.tumor	prob	rna	rna_combined			Thyroid gland	0.0	33	5
subject_a.tumor	prob	rna	rna_combined			Urothelial tract	0.008743672920390815	17	5
subject_a.tumor	prob	rna	gene_exp			Anogenital	0.005231868168249875	21	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Cartilaginous neoplasm		34	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: GIST	0.003256297399739549	24	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Leiomyosarcoma	0.0011923765380267774	28	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Liposarcoma	5.021786880168734e-05	31	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Osteosarcoma		35	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Undiff. sarcoma	0.18197398080803212	2	6
subject_a.tumor	prob	rna	gene_exp			Bone/Soft tissue: Other	0.013446854405682822	13	6
subject_a.tumor	prob	rna	gene_exp			Breast: Triple negative	0.003375482892665075	23	6
subject_a.tumor	prob	rna	gene_exp			Breast: Other	0.005840273284900881	20	6
subject_a.tumor	prob	rna	gene_exp			CNS: Glioma	0.09201824001475462	4	6
subject_a.tumor	prob	rna	gene_exp			CNS: Medulloblastoma		36	6
subject_a.tumor	prob	rna	gene_exp			CNS: Pilocytic astrocytoma		37	6
subject_a.tumor	prob	rna	gene_exp			Colorectum/Small intestine/Appendix	0.003121042333360211	25	6
subject_a.tumor	prob	rna	gene_exp			Esophagus/Stomach	0.019165973269509005	10	6
subject_a.tumor	prob	rna	gene_exp			Gynecologic: Endometrium	0.01835527839064687	11	6
subject_a.tumor	prob	rna	gene_exp			Gynecologic: Ovary/Fallopian tube	0.05055084431267585	5	6
subject_a.tumor	prob	rna	gene_exp			HPB: Bile duct/Gallbladder	0.00777581904022436	17	6
subject_a.tumor	prob	rna	gene_exp			HPB: Liver	0.023138322224800133	9	6
subject_a.tumor	prob	rna	gene_exp			HPB: Pancreas	0.007428063837692054	18	6
subject_a.tumor	prob	rna	gene_exp			Head and neck: Adenoid cystic	2.5427048718071195e-09	33	6
subject_a.tumor	prob	rna	gene_exp			Head and neck: Salivary gland	0.027943988444132508	8	6
subject_a.tumor	prob	rna	gene_exp			Head and neck: Other	0.12183306674228865	3	6
subject_a.tumor	prob	rna	gene_exp			Kidney: Chromophobe		38	6
subject_a.tumor	prob	rna	gene_exp			Kidney: Other	0.00888871613331132	15	6
subject_a.tumor	prob	rna	gene_exp			Lung: Non-small cell: LUAD	0.008186397593635656	16	6
subject_a.tumor	prob	rna	gene_exp			Lung: Non-small cell: LUSC	2.9878607028838522e-05	32	6
subject_a.tumor	prob	rna	gene_exp			Lung: Small cell	0.04565297164474484	6	6
subject_a.tumor	prob	rna	gene_exp			Lymphoid tissue	0.043392092788798374	7	6
subject_a.tumor	prob	rna	gene_exp			Mesothelium	0.001209272377371766	27	6
subject_a.tumor	prob	rna	gene_exp			Myeloid: Acute myeloid leukemia		39	6
subject_a.tumor	prob	rna	gene_exp			Myeloid: Myeloproliferative neoplasm		40	6
subject_a.tumor	prob	rna	gene_exp			NET: Colorectum/Small intestine	0.0044764498169215	22	6
subject_a.tumor	prob	rna	gene_exp			NET: Lung	0.0005430872142238979	29	6
subject_a.tumor	prob	rna	gene_exp			NET: Pancreas	0.018242784541998756	12	6
subject_a.tumor	prob	rna	gene_exp			Prostate	0.011462464637364717	14	6
subject_a.tumor	prob	rna	gene_exp			Skin: Melanoma	0.0023424446433038585	26	6
subject_a.tumor	prob	rna	gene_exp			Skin: Other	0.26332811834072906	1	6
subject_a.tumor	prob	rna	gene_exp			Thyroid gland	0.006071937430855541	19	6
subject_a.tumor	prob	rna	gene_exp			Urothelial tract	0.00047539171082399117	30	6
subject_a.tumor	prob	rna	alt_sj			Anogenital	0.003852340909259852	22	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Cartilaginous neoplasm		34	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: GIST	0.11826839881775536	3	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Leiomyosarcoma	0.0008874561145242884	29	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Liposarcoma	0.008024817765386794	16	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Osteosarcoma		35	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Undiff. sarcoma	0.0006570409522075013	31	7
subject_a.tumor	prob	rna	alt_sj			Bone/Soft tissue: Other	0.052676661937889564	5	7
subject_a.tumor	prob	rna	alt_sj			Breast: Triple negative	0.018230574382698757	11	7
subject_a.tumor	prob	rna	alt_sj			Breast: Other	0.006382925361708409	19	7
subject_a.tumor	prob	rna	alt_sj			CNS: Glioma	0.28329910313746	1	7
subject_a.tumor	prob	rna	alt_sj			CNS: Medulloblastoma		36	7
subject_a.tumor	prob	rna	alt_sj			CNS: Pilocytic astrocytoma		37	7
subject_a.tumor	prob	rna	alt_sj			Colorectum/Small intestine/Appendix	0.01738510582681846	12	7
subject_a.tumor	prob	rna	alt_sj			Esophagus/Stomach	0.03647933004489117	6	7
subject_a.tumor	prob	rna	alt_sj			Gynecologic: Endometrium	0.018409745602139385	10	7
subject_a.tumor	prob	rna	alt_sj			Gynecologic: Ovary/Fallopian tube	0.010165003554226155	15	7
subject_a.tumor	prob	rna	alt_sj			HPB: Bile duct/Gallbladder	0.01209151971859671	14	7
subject_a.tumor	prob	rna	alt_sj			HPB: Liver	0.08141513208267415	4	7
subject_a.tumor	prob	rna	alt_sj			HPB: Pancreas	0.000490291988025068	32	7
subject_a.tumor	prob	rna	alt_sj			Head and neck: Adenoid cystic	0.031903315425610076	8	7
subject_a.tumor	prob	rna	alt_sj			Head and neck: Salivary gland	0.002897376857660704	25	7
subject_a.tumor	prob	rna	alt_sj			Head and neck: Other	0.004520732249728678	21	7
subject_a.tumor	prob	rna	alt_sj			Kidney: Chromophobe		38	7
subject_a.tumor	prob	rna	alt_sj			Kidney: Other	0.030127238084318282	9	7
subject_a.tumor	prob	rna	alt_sj			Lung: Non-small cell: LUAD	0.007611356048778542	17	7
subject_a.tumor	prob	rna	alt_sj			Lung: Non-small cell: LUSC	0.0017211652378143875	27	7
subject_a.tumor	prob	rna	alt_sj			Lung: Small cell	0.0038274002698367657	23	7
subject_a.tumor	prob	rna	alt_sj			Lymphoid tissue	0.17972759449251385	2	7
subject_a.tumor	prob	rna	alt_sj			Mesothelium	0.0061666044992831305	20	7
